timestamp_utc,port,pid,cpu_pct,mem_pct,rss_kb,vsz_kb,etimes_sec,threads,state,cmd
2026-03-31T15:17:22Z,8081,265018,0.2,19.8,182288,2346408,56310,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:23Z,8081,265018,0.2,19.8,182288,2346408,56311,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:24Z,8081,265018,0.2,19.8,182288,2346408,56312,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:25Z,8081,265018,0.2,19.8,182288,2346408,56313,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:26Z,8081,265018,0.2,19.8,182288,2346408,56314,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:27Z,8081,265018,0.2,19.8,182288,2346408,56315,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:28Z,8081,265018,0.2,19.8,182288,2346408,56316,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:29Z,8081,265018,0.2,19.8,182288,2346408,56318,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:30Z,8081,265018,0.2,19.8,182288,2346408,56319,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:31Z,8081,265018,0.2,19.8,182288,2346408,56320,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:32Z,8081,265018,0.2,19.8,182288,2346408,56321,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:33Z,8081,265018,0.2,19.8,182288,2346408,56322,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:34Z,8081,265018,0.2,19.8,182288,2346408,56323,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:35Z,8081,265018,0.2,19.8,182288,2346408,56324,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:36Z,8081,265018,0.2,19.8,182288,2346408,56325,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:37Z,8081,265018,0.2,19.8,182288,2346408,56326,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:38Z,8081,265018,0.2,19.8,182288,2346408,56327,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:39Z,8081,265018,0.2,19.8,182288,2346408,56328,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:40Z,8081,265018,0.2,19.8,182288,2346408,56329,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:41Z,8081,265018,0.2,19.8,182288,2346408,56330,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:42Z,8081,265018,0.2,19.8,182288,2346408,56331,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:43Z,8081,265018,0.2,19.8,182288,2346408,56332,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:44Z,8081,265018,0.2,19.8,182288,2346408,56333,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:45Z,8081,265018,0.2,19.8,182288,2346408,56334,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:47Z,8081,265018,0.2,19.8,182288,2346408,56335,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:48Z,8081,265018,0.2,19.8,182288,2346408,56336,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:49Z,8081,265018,0.2,19.8,182288,2346408,56337,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:50Z,8081,265018,0.2,19.8,182288,2346408,56338,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:51Z,8081,265018,0.2,19.8,182288,2346408,56339,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:52Z,8081,265018,0.2,19.8,182288,2346408,56340,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:53Z,8081,265018,0.2,19.8,182288,2346408,56341,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:54Z,8081,265018,0.2,19.8,182288,2346408,56342,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:55Z,8081,265018,0.2,19.8,182288,2346408,56343,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:56Z,8081,265018,0.2,19.8,182288,2346408,56345,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:57Z,8081,265018,0.2,19.8,182288,2346408,56346,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:58Z,8081,265018,0.2,19.8,182288,2346408,56347,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:17:59Z,8081,265018,0.2,19.8,182288,2346408,56348,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:00Z,8081,265018,0.2,19.8,182288,2346408,56349,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:01Z,8081,265018,0.2,19.8,182288,2346408,56350,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:02Z,8081,265018,0.2,19.8,182288,2346408,56351,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:03Z,8081,265018,0.2,19.8,182288,2346408,56352,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:04Z,8081,265018,0.2,19.8,182288,2346408,56353,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:05Z,8081,265018,0.2,19.8,182288,2346408,56354,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:06Z,8081,265018,0.2,19.8,182288,2346408,56355,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:07Z,8081,265018,0.2,19.8,182288,2346408,56356,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:08Z,8081,265018,0.2,19.8,182288,2346408,56357,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:09Z,8081,265018,0.2,19.8,182288,2346408,56358,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:10Z,8081,265018,0.2,19.8,182288,2346408,56359,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:11Z,8081,265018,0.2,19.8,182288,2346408,56360,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:12Z,8081,265018,0.2,19.8,182288,2346408,56361,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:14Z,8081,265018,0.2,19.8,182288,2346408,56362,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:15Z,8081,265018,0.2,19.8,182288,2346408,56363,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:16Z,8081,265018,0.2,19.8,182288,2346408,56364,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:17Z,8081,265018,0.2,19.8,182288,2346408,56365,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:18Z,8081,265018,0.2,19.8,182288,2346408,56366,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:19Z,8081,265018,0.2,19.8,182288,2346408,56367,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:20Z,8081,265018,0.2,19.8,182288,2346408,56368,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:21Z,8081,265018,0.2,19.8,182288,2346408,56369,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:22Z,8081,265018,0.2,19.8,182288,2346408,56370,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:23Z,8081,265018,0.2,19.8,182288,2346408,56372,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:24Z,8081,265018,0.2,19.8,182288,2346408,56373,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:25Z,8081,265018,0.2,19.8,182288,2346408,56374,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:26Z,8081,265018,0.2,19.8,182288,2346408,56375,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:27Z,8081,265018,0.2,19.8,182288,2346408,56376,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:28Z,8081,265018,0.2,19.8,182288,2346408,56377,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:29Z,8081,265018,0.2,19.8,182288,2346408,56378,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
2026-03-31T15:18:30Z,8081,265018,0.2,19.8,182288,2346408,56379,41,S,"41 S java -jar target/food-rest-service-0.0.1-SNAPSHOT.jar --server.port=8081"
